name,description,manufacturer_code,category,tags,seo_keyword,meta_description,attributes,images,mpn,manufacturer_model_number,uom,sale_price,cost_price,options,weight,length,width,height,location,quantity
Cordova Defender II Microporous Disposable Coverall,,,,,,,,,MP107,,case,71.00,56.00,color:white| size: 5xl,,,,,"Oklahoma City, OK",0
Pyramex SS 100 Side Shield,Our SS100 side shield is a convenient accessory constructed of clear soft PVC. The unique channel design of SS100 allows easy installation on a wide variety of prescription eyewear,PYR,Eye Protection|Accessories|Side Shields,Cordova|Disposable Coverall|Disposable Protection|Defender|Microporous,Microporous Disposable Coveralls,Microporous Disposable Coveralls,Material: Composite Fabric - Microporous Film - Soft Non-Woven Polyolefin | Protection: ANSI/ISEA 101 Compliant sizing - ASTM 1670 | Blood Penetration: Pass - Anti-Static - Safe for Food contact|Features: Serged Seams - Zipper and Collar - Elastic Waist,products/CORMP100_1.jpg|products/CORMP100_2.jpg,SS100,,each,2.50,1.00,color: clear,1.00,5.50,3.00,2.00,"Oklahoma City, OK",0
Pyramex SS 100 Side Shield,,,,,,,,,SS100,,dozen,29.00,18.96,color: clear,1.00,5.50,3.00,2.00,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,SunnyCare® 12” Nitrile Medical Exam Gloves Purple. Produced and packed in an ISO 9001 and ISO 13485 quality system certified facility. Tested for use with Chemotherapy drugs using ASTM D6978-05.,SC,Hand Protection|Disposable Gloves|Nitrile ,SunnyCare| Disposable| Gloves| 8 Mil| Nitrile| Powder Free,8 Mil Disposable Nitrile Gloves,8 Mil Disposable Nitrile Gloves,Protection: Produced and packed in an ISO 9001 and ISO 13485 quality system certified facility. Tested for use with Chemotherapy drugs using ASTM D6978-05.|Applications: Medical \ Industrial,products/SC8704.jpg,8701,,box,21.00,18.90,color: purple| size: s,10.65,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8701,,case,211.00,105.50,color: purple| size: s,10.65,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8702,,box,21.00,18.90,color: purple| size: m,12.10,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8702,,case,211.00,105.50,color: purple| size: m,12.10,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8703,,box,25.00,21.80,color: purple| size: l,12.50,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8703,,case,243.00,121.50,color: purple| size: l,12.50,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8704,,box,25.00,21.80,color: purple| size: xl,13.00,13.25,10.25,10.75,"Oklahoma City, OK",0
Sunnycare 8 Mil Powder Free Nitrile Gloves,,,,,,,,,8704,,case,243.00,121.50,color: purple| size: xl,13.00,13.25,10.25,10.75,"Oklahoma City, OK",0
MCR Nitri-Chem Unlined Green 22 mil Nitrile Gloves,Nitrile gloves are three times more puncture resistant than rubber and can be used to offer superior resistance to many types of chemicals. This glove is an excellent alternative for individuals who experience allergic reactions to latex. The 5350 series is an unlined industry grade nitrile glove that is 22 mil in thickness and 18 inches long. Component materials comply with all federal regulations for food contact. The 5350 also has a textured palm for additional gripping power.,MCR,Hand Protection|Chemical Resistant Gloves|Nitrile,MCR Safety| Nitri-Chem| Chemical Resistant| Nitrile| 22 Mil| 18 Inch| Extra Long,Chemical Resistant Nitrile Gloves,Chemical Resistant Nitrile Gloves,Features: 22 mil unlined green nitrile gloves \ 18 inch length \ Component materials comply with all federal regulations|Protection: ANSI Puncture Level 3 \ ANSI/ISEA 105:2016 Standard \ Puncture Resistance Test Method EN388 for food contact \ Industrial grade \ Textured grip \ Extra long straight cuff \ Straight thumb \ Chemical resistant nitrile gloves,products/MCR5350_1.jpg,5350,,pair,11.00,5.00,color: green| size: l,,,,,"Oklahoma City, OK",0
MCR Nitri-Chem Unlined Green 22 mil Nitrile Gloves,,,,,,,,,5350,,pair,11.00,5.00,color: green| size: xl,,,,,"Oklahoma City, OK",0
MCR Nitri-Chem Unlined Green 22 mil Nitrile Gloves,,,,,,,,,5350,,pair,11.00,5.00,color: green| size: 2xl,,,,,"Oklahoma City, OK",0
